user_id,date,conversion,sessions_duration,sessions_number
1,2024-06-24,0,44.48590458517617,3
2,2024-06-24,1,24.997177526913223,2
3,2024-06-24,0,27.349969383179666,2
4,2024-06-29,0,40.56480607497324,6
5,2024-06-29,1,28.508229230084144,5
6,2024-06-30,0,27.74030766031876,8
7,2024-06-30,0,24.54331901810287,2
8,2024-06-30,1,38.36189751150593,9
9,2024-06-30,0,39.05141433295264,8
10,2024-06-26,1,44.75289382601969,7
11,2024-06-25,0,35.870439198225654,8
12,2024-06-28,1,16.850046095729468,7
13,2024-06-28,0,24.08638586422437,3
14,2024-06-25,0,36.44665440309375,5
15,2024-06-28,0,35.98692497999655,1
16,2024-06-24,0,30.794907688607175,4
17,2024-06-26,1,28.47520692334835,4
18,2024-06-26,0,21.67445952783509,2
19,2024-06-24,1,33.77129360969802,7
20,2024-06-30,1,44.50063276895804,5
21,2024-06-24,1,45.63573007716287,3
22,2024-06-27,0,19.591099787463676,6
23,2024-06-24,0,44.40301571515661,5
24,2024-06-28,0,39.02222909204572,8
25,2024-06-25,0,25.05374504183527,6
26,2024-06-26,1,37.302899451424935,6
27,2024-06-25,1,56.510461243577254,6
28,2024-06-27,0,36.82531144306205,3
29,2024-06-30,0,34.25552624743049,3
30,2024-06-26,0,6.852909045987499,10
31,2024-06-25,0,34.041203472765275,2
32,2024-06-24,0,47.40748274160207,11
33,2024-06-29,0,23.389674349583768,3
34,2024-06-26,0,26.26537443139794,6
35,2024-06-29,1,33.92409610336514,4
36,2024-06-28,0,28.417989171368284,4
37,2024-06-30,1,25.864731810871042,4
38,2024-06-24,0,44.9656162009275,6
39,2024-06-28,0,26.625655742843257,8
40,2024-06-30,0,32.8929704988161,6
41,2024-06-25,0,14.989311749732998,1
42,2024-06-27,0,25.0404448242799,5
43,2024-06-26,0,22.59305978575633,12
44,2024-06-27,1,34.1183150141277,5
45,2024-06-24,1,44.955299170250974,4
46,2024-06-27,0,51.468119831500964,6
47,2024-06-24,1,33.135250960972705,6
48,2024-06-25,0,45.47478635829397,4
49,2024-06-24,0,28.299810555732467,4
50,2024-06-30,0,37.3035397719912,4
51,2024-06-24,0,34.33720478484672,7
52,2024-06-24,0,26.181438205579045,5
53,2024-06-26,0,39.85774116045651,6
54,2024-06-26,1,29.248954406840607,8
55,2024-06-29,1,28.905437698968846,7
56,2024-06-26,0,18.59442926431794,3
57,2024-06-25,1,36.04150077455925,12
58,2024-06-26,1,36.23839162273235,5
59,2024-06-29,0,36.38484491117788,5
60,2024-06-30,1,40.516325883942685,2
61,2024-06-30,1,22.780565321847376,3
62,2024-06-25,0,8.861684748913298,4
63,2024-06-27,0,19.42063959125951,4
64,2024-06-24,0,30.36859762550133,3
65,2024-06-27,1,33.78591579571189,6
66,2024-06-26,0,31.273585230729218,1
67,2024-06-24,0,37.65772993756832,6
68,2024-06-30,0,42.35057129254207,2
69,2024-06-24,1,40.32196300379382,5
70,2024-06-27,1,22.817304887440873,6
71,2024-06-27,0,41.34127025301282,5
72,2024-06-30,0,48.1890814435441,3
73,2024-06-25,0,30.18485613980433,5
74,2024-06-24,1,32.96901597294195,5
75,2024-06-25,0,32.83740005304875,2
76,2024-06-25,0,27.548270637323995,6
77,2024-06-25,1,29.534083730579013,7
78,2024-06-30,0,22.211983988086914,2
79,2024-06-29,0,27.10618859131831,6
80,2024-06-24,0,36.97009700319575,1
81,2024-06-29,0,17.6391531068104,4
82,2024-06-30,1,31.153635964784726,4
83,2024-06-26,0,37.2140720837179,4
84,2024-06-27,0,29.726608446889298,8
85,2024-06-25,0,25.876030657791027,6
86,2024-06-30,0,41.01693733126281,3
87,2024-06-27,0,17.982091322468754,2
88,2024-06-24,0,43.23806751836007,4
89,2024-06-28,0,49.19592398093991,3
90,2024-06-28,1,30.350391514101357,3
91,2024-06-28,1,35.49598689143927,3
92,2024-06-25,0,32.66704816996976,3
93,2024-06-28,1,27.514901918611834,5
94,2024-06-26,0,35.49939659463949,4
95,2024-06-30,1,32.6950479877592,3
96,2024-06-30,0,15.009378543172208,9
97,2024-06-25,1,33.02420235537835,2
98,2024-06-30,1,32.69070823551364,4
99,2024-06-24,0,29.309249699526955,2
100,2024-06-28,0,35.80930435912542,6
101,2024-06-30,0,55.06391801808549,5
102,2024-06-27,0,28.79749180452142,7
103,2024-06-27,0,35.925012802032384,6
104,2024-06-24,1,24.012169038485354,5
105,2024-06-30,0,32.29032343370776,4
106,2024-06-29,1,30.867062928193672,3
107,2024-06-24,0,35.659418615999435,1
108,2024-06-26,1,46.55638800075637,4
109,2024-06-26,0,38.913736228489256,5
110,2024-06-30,0,21.376046565896562,5
111,2024-06-30,0,23.543438188536715,4
112,2024-06-24,0,26.156587493376563,2
113,2024-06-27,0,22.567853596152624,3
114,2024-06-28,1,15.669654992288827,7
115,2024-06-27,1,31.991248361827488,7
116,2024-06-30,0,25.76967522330133,7
117,2024-06-25,0,42.415052996736165,7
118,2024-06-28,1,18.70650046318993,6
119,2024-06-24,1,34.36231613467534,4
120,2024-06-25,1,42.61752077715353,8
121,2024-06-24,1,25.656003276365922,4
122,2024-06-28,0,33.94640127894464,3
123,2024-06-28,0,19.562138349031446,3
